Make,Total Fatal Injuries,Total Serious Injuries,Total Minor Injuries,Total Uninjured,Total Passengers,Total Survivors,Count,Favorable Result,Unfavorable Result,Percent Favorable,Percent Unfavorable
Piel,0.0,1.0,1.0,0.0,2.0,2.0,2,0,0,0.0,0.0
Grenier Raymond,0.0,1.0,0.0,3.0,4.0,4.0,2,0,0,0.0,0.0
Chance Vought,0.0,0.0,0.0,2.0,2.0,2.0,2,0,0,0.0,0.0
Thatcher,0.0,1.0,1.0,0.0,2.0,2.0,2,0,0,0.0,0.0
Zlin,0.0,0.0,0.0,2.0,2.0,2.0,2,0,0,0.0,0.0
Grumman Acft Eng,0.0,2.0,0.0,0.0,2.0,2.0,2,0,0,0.0,0.0
Brm Aero,1.0,0.0,0.0,2.0,3.0,2.0,2,0,1,0.0,50.0
Swanson,0.0,2.0,0.0,0.0,2.0,2.0,2,0,0,0.0,0.0
Bushby,1.0,0.0,0.0,1.0,2.0,1.0,2,0,0,0.0,0.0
Fouga,0.0,0.0,0.0,2.0,2.0,2.0,2,0,0,0.0,0.0
Schumacher,3.0,0.0,0.0,2.0,5.0,2.0,2,0,1,0.0,50.0
Lockwood,1.0,0.0,0.0,2.0,3.0,2.0,2,0,0,0.0,0.0
Piggott John H,0.0,1.0,0.0,2.0,3.0,3.0,2,0,0,0.0,0.0
Pereyra,0.0,1.0,0.0,2.0,3.0,3.0,2,0,0,0.0,0.0
Moore,3.0,0.0,0.0,0.0,3.0,0.0,2,0,1,0.0,50.0
Grumman American Aviation,0.0,0.0,1.0,1.0,2.0,2.0,2,0,0,0.0,0.0
Moyes Bailey,0.0,1.0,0.0,1.0,2.0,2.0,2,0,0,0.0,0.0
Byler,0.0,0.0,1.0,1.0,2.0,2.0,2,0,0,0.0,0.0
Sukhoi,0.0,0.0,1.0,1.0,2.0,2.0,2,0,0,0.0,0.0
Stol,0.0,4.0,0.0,2.0,6.0,6.0,2,0,0,0.0,0.0
Davison,0.0,1.0,0.0,2.0,3.0,3.0,2,0,0,0.0,0.0
Grumman Aircraft Eng Corp,1.0,1.0,0.0,2.0,4.0,3.0,2,0,1,0.0,50.0
Mxr Technologies,4.0,0.0,0.0,0.0,4.0,0.0,2,0,0,0.0,0.0
Mx Aircraft Llc,0.0,1.0,0.0,1.0,2.0,2.0,2,0,0,0.0,0.0
Gulfstream Am Corp Comm Div,4.0,0.0,0.0,2.0,6.0,2.0,2,0,1,0.0,50.0
Davenport,0.0,0.0,1.0,2.0,3.0,3.0,2,0,0,0.0,0.0
Thrush,0.0,0.0,1.0,1.0,2.0,2.0,2,0,0,0.0,0.0
Cessna/Air Repair Inc,0.0,0.0,0.0,3.0,3.0,3.0,2,0,0,0.0,0.0
Mustang,4.0,0.0,0.0,0.0,4.0,0.0,2,0,1,0.0,50.0
Naval Aircraft Factory,0.0,0.0,0.0,3.0,3.0,3.0,2,0,0,0.0,0.0
Hawker Siddeley,0.0,1.0,0.0,1.0,2.0,2.0,2,0,0,0.0,0.0
Grumman Schweizer,0.0,0.0,0.0,2.0,2.0,2.0,2,0,0,0.0,0.0
Day William L,0.0,0.0,0.0,2.0,2.0,2.0,2,0,0,0.0,0.0
Van'S Aircraft,0.0,0.0,2.0,3.0,5.0,5.0,2,0,0,0.0,0.0
Trom Wayne,2.0,0.0,0.0,1.0,3.0,1.0,2,0,1,0.0,50.0
Fairchild Heli-Porter,1.0,1.0,0.0,0.0,2.0,1.0,2,0,0,0.0,0.0
Quicksilver Enterprises Inc,1.0,0.0,1.0,0.0,2.0,1.0,2,0,1,0.0,50.0
White,0.0,0.0,1.0,3.0,4.0,4.0,2,0,0,0.0,0.0
Aveko Sro,0.0,0.0,2.0,1.0,3.0,3.0,2,0,0,0.0,0.0
Quicksilver Manufacturing Inc,0.0,2.0,0.0,1.0,3.0,3.0,2,0,0,0.0,0.0
Robinson Michael E,0.0,1.0,0.0,2.0,3.0,3.0,2,0,0,0.0,0.0
Whittman,0.0,0.0,1.0,2.0,3.0,3.0,2,0,0,0.0,0.0
Fairchild(Howard),0.0,2.0,0.0,2.0,4.0,4.0,2,0,0,0.0,0.0
Cosmos,0.0,1.0,1.0,1.0,3.0,3.0,2,0,0,0.0,0.0
Curtiss-Wright,0.0,0.0,0.0,4.0,4.0,4.0,2,0,0,0.0,0.0
Skykits Usa Corp,1.0,0.0,1.0,0.0,2.0,1.0,2,0,0,0.0,0.0
Arion,0.0,1.0,2.0,0.0,3.0,3.0,2,0,0,0.0,0.0
Arado-Flugzeugwerke Gmbh,0.0,0.0,0.0,2.0,2.0,2.0,2,0,0,0.0,0.0
Gates Lear Jet Corp.,0.0,2.0,0.0,3.0,5.0,5.0,2,0,0,0.0,0.0
Skystar,0.0,0.0,0.0,2.0,2.0,2.0,2,0,0,0.0,0.0
Avid Aircraft,0.0,0.0,1.0,1.0,2.0,2.0,2,0,0,0.0,0.0
Weston,0.0,1.0,0.0,1.0,2.0,2.0,2,0,0,0.0,0.0
Aeros Ltd,0.0,0.0,2.0,1.0,3.0,3.0,2,0,0,0.0,0.0
Express,3.0,0.0,0.0,0.0,3.0,0.0,2,0,2,0.0,100.0
Experimental,0.0,0.0,2.0,1.0,3.0,3.0,2,0,0,0.0,0.0
Aeroprakt,0.0,0.0,0.0,2.0,2.0,2.0,2,0,0,0.0,0.0
Bae Systems,0.0,0.0,0.0,3.0,3.0,3.0,2,0,0,0.0,0.0
Bagley Curtis Lynn,0.0,0.0,0.0,3.0,3.0,3.0,2,0,0,0.0,0.0
Bakeng,0.0,0.0,1.0,2.0,3.0,3.0,2,0,0,0.0,0.0
Mcclish,0.0,1.0,0.0,2.0,3.0,3.0,2,0,0,0.0,0.0
Rogers,0.0,0.0,0.0,2.0,2.0,2.0,2,0,0,0.0,0.0
Quickie,0.0,0.0,0.0,2.0,2.0,2.0,2,0,0,0.0,0.0
2021Fx3 Llc,0.0,0.0,0.0,4.0,4.0,4.0,2,0,0,0.0,0.0
Jihlavan Airplanes Sro,2.0,0.0,0.0,2.0,4.0,2.0,2,0,1,0.0,50.0
Sport Plane Dynamics Llc,0.0,1.0,0.0,3.0,4.0,4.0,2,0,0,0.0,0.0
Rose,2.0,0.0,0.0,0.0,2.0,0.0,2,0,2,0.0,100.0
Czech Sport Aircraft,0.0,0.0,0.0,2.0,2.0,2.0,2,0,0,0.0,0.0
Parker,1.0,0.0,0.0,1.0,2.0,1.0,2,0,1,0.0,50.0
Hemp Timothy,2.0,0.0,0.0,1.0,3.0,1.0,2,0,1,0.0,50.0
Quad City Ultralight Acft Corp,0.0,0.0,1.0,1.0,2.0,2.0,2,0,0,0.0,0.0
Wsk-Mielec,0.0,2.0,2.0,3.0,7.0,7.0,2,0,0,0.0,0.0
Fisher Michael E,1.0,0.0,1.0,0.0,2.0,1.0,2,0,1,0.0,50.0
Allen,2.0,0.0,1.0,0.0,3.0,1.0,2,0,1,0.0,50.0
Funk,0.0,1.0,0.0,2.0,3.0,3.0,2,0,0,0.0,0.0
Magnaghi Aeronautica Spa,0.0,1.0,0.0,1.0,2.0,2.0,2,0,0,0.0,0.0
Cox,2.0,0.0,0.0,1.0,3.0,1.0,2,0,0,0.0,0.0
Cubcrafter,0.0,0.0,0.0,3.0,3.0,3.0,2,0,0,0.0,0.0
Airplane Factory (Pty) Ltd,0.0,0.0,0.0,3.0,3.0,3.0,2,0,0,0.0,0.0
Costruzioni Aeronautiche,0.0,0.0,0.0,2.0,2.0,2.0,2,0,0,0.0,0.0
M-Squared Aircraft,0.0,0.0,2.0,1.0,3.0,3.0,2,0,0,0.0,0.0
M-Squared,2.0,1.0,0.0,0.0,3.0,1.0,2,0,0,0.0,0.0
M Squared,1.0,0.0,1.0,0.0,2.0,1.0,2,0,0,0.0,0.0
Aircraft Mfg & Dvlpmt Co,3.0,0.0,0.0,0.0,3.0,0.0,2,0,2,0.0,100.0
Aircraft Mfg & Dev. Co. (Amd),2.0,1.0,1.0,0.0,4.0,2.0,2,0,1,0.0,50.0
Aircraft Mfg & Design Llc,1.0,0.0,0.0,2.0,3.0,2.0,2,0,1,0.0,50.0
"Wolseley Motors, Inc.",0.0,1.0,0.0,1.0,2.0,2.0,2,0,0,0.0,0.0
Alvarez Marvin R,0.0,1.0,0.0,3.0,4.0,4.0,2,0,0,0.0,0.0
Fisher Flying Products,0.0,0.0,0.0,2.0,2.0,2.0,2,0,0,0.0,0.0
"Rans, Inc.",2.0,0.0,0.0,1.0,3.0,1.0,2,0,0,0.0,0.0
Rice,1.0,0.0,1.0,0.0,2.0,1.0,2,0,0,0.0,0.0
American Aviation Corp. (Aac),0.0,2.0,0.0,2.0,4.0,4.0,2,0,0,0.0,0.0
Wsk-Pzl Warzawa-Okecie,0.0,0.0,0.0,3.0,3.0,3.0,2,0,0,0.0,0.0
Heinlein George,0.0,0.0,0.0,2.0,2.0,2.0,2,0,0,0.0,0.0
Mantell Allan T,0.0,0.0,1.0,1.0,2.0,2.0,2,0,0,0.0,0.0
G-Dawg Llc,0.0,0.0,2.0,1.0,3.0,3.0,2,0,0,0.0,0.0
Rans Inc,3.0,0.0,0.0,0.0,3.0,0.0,2,0,0,0.0,0.0
Rans Employee Flying Club,0.0,4.0,0.0,0.0,4.0,4.0,2,0,0,0.0,0.0
Gallagher,1.0,0.0,0.0,2.0,3.0,2.0,2,0,1,0.0,50.0
L-Bird Llc,0.0,0.0,0.0,3.0,3.0,3.0,2,0,0,0.0,0.0
"Cubcrafters, Inc",0.0,0.0,0.0,3.0,3.0,3.0,2,0,0,0.0,0.0
Aerostar Aircraft Corporation,1.0,0.0,0.0,1.0,2.0,1.0,2,0,0,0.0,0.0
Wilson,2.0,0.0,0.0,0.0,2.0,0.0,2,0,1,0.0,50.0
Skykits,1.0,0.0,0.0,2.0,3.0,2.0,2,0,0,0.0,0.0
Europa,0.0,0.0,1.0,1.0,2.0,2.0,2,0,0,0.0,0.0
Czech Sportplanes Sro,0.0,0.0,0.0,2.0,2.0,2.0,2,0,0,0.0,0.0
Best Off,0.0,0.0,1.0,1.0,2.0,2.0,2,0,0,0.0,0.0
Joe Salomone,0.0,0.0,0.0,3.0,3.0,3.0,2,0,0,0.0,0.0
Meyer,1.0,0.0,0.0,1.0,2.0,1.0,2,0,0,0.0,0.0
Remos Aircraft Gmbh Flugzeugba,2.0,0.0,0.0,2.0,4.0,2.0,2,0,0,0.0,0.0
Birchler Boyd,0.0,1.0,0.0,1.0,2.0,2.0,2,0,0,0.0,0.0
Bird,0.0,0.0,0.0,3.0,3.0,3.0,2,0,0,0.0,0.0
Collins,0.0,0.0,1.0,1.0,2.0,2.0,2,0,0,0.0,0.0
Stanton,0.0,0.0,1.0,1.0,2.0,2.0,2,0,0,0.0,0.0
Black Donald,0.0,0.0,0.0,2.0,2.0,2.0,2,0,0,0.0,0.0
Commonwealth,0.0,1.0,0.0,1.0,2.0,2.0,2,0,0,0.0,0.0
Aero Adventure,1.0,0.0,1.0,0.0,2.0,1.0,2,0,0,0.0,0.0
Pphu Ekolot,0.0,0.0,0.0,4.0,4.0,4.0,2,0,0,0.0,0.0
Mikoyan Gurevich,0.0,1.0,1.0,0.0,2.0,2.0,2,0,0,0.0,0.0
Northrop,1.0,0.0,0.0,1.0,2.0,1.0,2,0,1,0.0,50.0
Boring Robert Burton,0.0,1.0,1.0,2.0,4.0,4.0,2,0,0,0.0,0.0
Daniels Alan L,0.0,0.0,0.0,2.0,2.0,2.0,2,0,0,0.0,0.0
Bordelon,0.0,0.0,0.0,2.0,2.0,2.0,2,0,0,0.0,0.0
Porter James Grant,0.0,0.0,1.0,1.0,2.0,2.0,2,0,0,0.0,0.0
Universal,1.0,0.0,0.0,1.0,2.0,1.0,2,0,1,0.0,50.0
Crawford,0.0,1.0,0.0,2.0,3.0,3.0,2,0,0,0.0,0.0
Univair Aircraft Corporation,0.0,2.0,0.0,1.0,3.0,3.0,2,0,0,0.0,0.0
North Wing,1.0,0.0,1.0,0.0,2.0,1.0,2,0,1,0.0,50.0
Cliff,1.0,0.0,1.0,1.0,3.0,2.0,2,0,0,0.0,0.0
Franklin,0.0,1.0,0.0,1.0,2.0,2.0,2,0,0,0.0,0.0
Vans Aircraft,0.0,2.0,1.0,0.0,3.0,3.0,2,0,0,0.0,0.0
Bice David E,0.0,0.0,0.0,2.0,2.0,2.0,2,0,0,0.0,0.0
Varga Aircraft Corp.,2.0,0.0,0.0,0.0,2.0,0.0,2,0,0,0.0,0.0
Probst,1.0,0.0,0.0,1.0,2.0,1.0,2,0,0,0.0,0.0
Commander Aircraft Company,2.0,0.0,0.0,1.0,3.0,1.0,2,0,0,0.0,0.0
Commander Aircraft Co,0.0,0.0,0.0,4.0,4.0,4.0,2,0,0,0.0,0.0
Stephenson,2.0,0.0,0.0,0.0,2.0,0.0,2,0,0,0.0,0.0
Focke-Wulf,2.0,0.0,0.0,0.0,2.0,0.0,2,0,1,0.0,50.0
Elmwood,0.0,1.0,1.0,1.0,3.0,3.0,2,0,0,0.0,0.0
Hi-Max,1.0,0.0,1.0,0.0,2.0,1.0,2,0,0,0.0,0.0
Colyaer Sl,4.0,0.0,0.0,0.0,4.0,0.0,2,0,1,0.0,50.0
Belcher William B Ii,0.0,1.0,1.0,0.0,2.0,2.0,2,0,0,0.0,0.0
Poberezny,2.0,0.0,0.0,1.0,3.0,1.0,2,0,0,0.0,0.0
Fokker,0.0,0.0,0.0,2.0,2.0,2.0,2,0,0,0.0,0.0
Just Aircraft,0.0,1.0,0.0,2.0,3.0,3.0,2,0,0,0.0,0.0
Vickers,0.0,0.0,0.0,2.0,2.0,2.0,2,0,0,0.0,0.0
Tubbs S/Performance Air Inc,0.0,0.0,0.0,2.0,2.0,2.0,2,0,0,0.0,0.0
Partenavia,2.0,3.0,0.0,0.0,5.0,3.0,2,0,0,0.0,0.0
S C Aerostar S A,1.0,0.0,0.0,1.0,2.0,1.0,2,0,1,0.0,50.0
Vaughn,2.0,2.0,0.0,0.0,4.0,2.0,2,0,0,0.0,0.0
S.C. Aerostar S.A.,2.0,0.0,0.0,2.0,4.0,2.0,2,0,0,0.0,0.0
Bowers Fly Baby,1.0,0.0,1.0,0.0,2.0,1.0,2,0,1,0.0,50.0
Vashon Aircraft,0.0,0.0,0.0,2.0,2.0,2.0,2,0,0,0.0,0.0
Meuer Mark,0.0,1.0,0.0,1.0,2.0,2.0,2,0,0,0.0,0.0
Eads Socata,0.0,2.0,0.0,3.0,5.0,5.0,2,0,0,0.0,0.0
Pedersen Bjarne Martin,0.0,0.0,1.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Payne/Foster,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Pearson,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Peck,0.0,0.0,1.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Pazmany,0.0,1.0,0.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Perner/Pitts,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Peck Norman O,1.0,0.0,0.0,0.0,1.0,0.0,1,0,1,0.0,100.0
Partenavia Spa,3.0,0.0,0.0,0.0,3.0,0.0,1,0,0,0.0,0.0
Performer,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Payne Steven R,0.0,0.0,0.0,2.0,2.0,2.0,1,0,0,0.0,0.0
Parks Richard A,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Peryera Arnet,2.0,0.0,0.0,0.0,2.0,0.0,1,0,0,0.0,0.0
Parlette Robert L,0.0,1.0,0.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Penell Mark A,0.0,0.0,1.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Paradise Usa Llc,0.0,0.0,0.0,2.0,2.0,2.0,1,0,0,0.0,0.0
Pekola James W,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Pensinger,0.0,1.0,0.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Parks Jerry R,0.0,1.0,0.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Partenavia S.P.A.,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Parks J L/Dreffin D,0.0,0.0,0.0,2.0,2.0,2.0,1,0,0,0.0,0.0
Pepperd Greg J,0.0,2.0,0.0,0.0,2.0,2.0,1,0,0,0.0,0.0
Paul B. Johnson,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Pereira,0.0,1.0,0.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Paradise Aircraft Usa Llc,0.0,0.0,0.0,2.0,2.0,2.0,1,0,0,0.0,0.0
Paul Gaywood E,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Paul R Seipt,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Peet Charles,0.0,1.0,0.0,0.0,1.0,1.0,1,0,0,0.0,0.0
177Mf Llc,0.0,2.0,0.0,0.0,2.0,2.0,1,0,0,0.0,0.0
Poole Robert C Jr,0.0,1.0,0.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Peter A Land,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Pruss Richard S,1.0,0.0,1.0,0.0,2.0,1.0,1,0,0,0.0,0.0
Ragle,2.0,0.0,0.0,0.0,2.0,0.0,1,0,1,0.0,100.0
Raf,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Radley Vincent,0.0,0.0,1.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Radford Darrel F,0.0,0.0,0.0,2.0,2.0,2.0,1,0,0,0.0,0.0
Radford,1.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0
Raddatz Steve,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Quist,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Quicksilver Mfg,0.0,0.0,1.0,1.0,2.0,2.0,1,0,0,0.0,0.0
Quicksilver Eipper Acft Inc,0.0,0.0,1.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Quicksilver Aircraft Northeast,0.0,2.0,0.0,0.0,2.0,2.0,1,0,0,0.0,0.0
Quicksilver Aircraft Co,0.0,1.0,1.0,0.0,2.0,2.0,1,0,0,0.0,0.0
Quicksilver Aircraft,0.0,1.0,0.0,0.0,1.0,1.0,1,0,0,0.0,0.0
"Questair, Inc.",0.0,2.0,0.0,0.0,2.0,2.0,1,0,0,0.0,0.0
Questair Inc,0.0,0.0,0.0,2.0,2.0,2.0,1,0,0,0.0,0.0
Quasar Acft Co Llc,0.0,0.0,0.0,2.0,2.0,2.0,1,0,0,0.0,0.0
Quartz Mountain Aerospace Inc,0.0,0.0,0.0,3.0,3.0,3.0,1,0,0,0.0,0.0
Quartz Mountain Aerospace,0.0,0.0,0.0,2.0,2.0,2.0,1,0,0,0.0,0.0
Quarnoccio,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Quad City Ultralights,2.0,0.0,0.0,0.0,2.0,0.0,1,0,0,0.0,0.0
Quad City Ultralight Corp,1.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0
Quad City Ultralight,0.0,1.0,0.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Quad City Aircraft Corp,0.0,0.0,1.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Qac,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Pzl Warszawa-Okecie,1.0,0.0,1.0,0.0,2.0,1.0,1,0,0,0.0,0.0
Pzl Okecie,0.0,0.0,0.0,3.0,3.0,3.0,1,0,0,0.0,0.0
Pzl,0.0,1.0,0.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Pyka Inc,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0
Rainbow Sky Reach,0.0,0.0,0.0,2.0,2.0,2.0,1,0,0,0.0,0.0
Ralph C Kimball,0.0,0.0,0.0,2.0,2.0,2.0,1,0,0,0.0,0.0
Rammel Thomas W,0.0,0.0,1.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Raviraj Mohil,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Reed William A,0.0,0.0,1.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Reed Mike,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Reed,2.0,0.0,0.0,0.0,2.0,0.0,1,0,0,0.0,0.0
Redding David,0.0,0.0,0.0,2.0,2.0,2.0,1,0,0,0.0,0.0
Redd Tom,1.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0
Rearwin,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Reamer,1.0,0.0,1.0,0.0,2.0,1.0,1,0,0,0.0,0.0
Raytheon Corporate Jets,8.0,0.0,0.0,0.0,8.0,0.0,1,0,1,0.0,100.0
Raymon A. King,0.0,1.0,0.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Ray Earl D,0.0,1.0,0.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Ray E Roberts,0.0,1.0,0.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Ray Aerial Spraying,1.0,0.0,0.0,0.0,1.0,0.0,1,0,1,0.0,100.0
Raudenbush Ernie,0.0,1.0,0.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Rand Robinson,0.0,1.0,0.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Rauch,0.0,1.0,0.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Ratte James,0.0,1.0,0.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Ratheon Aircraft Company,0.0,0.0,0.0,2.0,2.0,2.0,1,0,0,0.0,0.0
Ratcliffe John A,1.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0
Rardin William I,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Rans S-12,0.0,0.0,2.0,0.0,2.0,2.0,1,0,0,0.0,0.0
Rans Designs Inc,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Rans Aircraft,0.0,2.0,0.0,0.0,2.0,2.0,1,0,0,0.0,0.0
Randy Wayne Maloney,0.0,2.0,0.0,0.0,2.0,2.0,1,0,0,0.0,0.0
Randall W Grandpre,0.0,1.0,0.0,1.0,2.0,2.0,1,0,0,0.0,0.0
Randall Marvin L,0.0,0.0,0.0,2.0,2.0,2.0,1,0,0,0.0,0.0
Randal C Reimer,2.0,0.0,0.0,0.0,2.0,0.0,1,0,1,0.0,100.0
Purtee Kevin M,0.0,0.0,1.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Prizio,0.0,0.0,0.0,2.0,2.0,2.0,1,0,0,0.0,0.0
Peter W Stevens,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Pridmore,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Piper Cub Crafters,0.0,0.0,0.0,2.0,2.0,2.0,1,0,0,0.0,0.0
"Piper Aircraft, Inc.",1.0,1.0,0.0,0.0,2.0,1.0,1,0,0,0.0,0.0
Piper Aircraft Corporation,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Piper Aerostar,2.0,0.0,0.0,0.0,2.0,0.0,1,0,1,0.0,100.0
Piper / Laudeman,0.0,0.0,2.0,0.0,2.0,2.0,1,0,0,0.0,0.0
Piontkowski,0.0,0.0,1.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Pinkston Randy T,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Pilgrim Samuel W Jr,0.0,0.0,0.0,2.0,2.0,2.0,1,0,0,0.0,0.0
Pilatus Aircraft,0.0,0.0,0.0,3.0,3.0,3.0,1,0,0,0.0,0.0
Pierson,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
"Pierce, Henry",2.0,0.0,0.0,0.0,2.0,0.0,1,0,1,0.0,100.0
Picard Roy J,0.0,1.0,1.0,0.0,2.0,2.0,1,0,0,0.0,0.0
Piaggio Aero Industries Spa,0.0,4.0,0.0,0.0,4.0,4.0,1,0,0,0.0,0.0
Phillips William L,1.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0
Phillips Ralph W,0.0,0.0,1.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Phillip B Rolls,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Philip D Anderson,0.0,0.0,1.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Phelps,0.0,0.0,0.0,2.0,2.0,2.0,1,0,0,0.0,0.0
Phantom Aircraft Co,0.0,1.0,0.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Phantom,0.0,1.0,0.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Pfouts Alfred L,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Pflugradt,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Pf Cub Flyers Llc,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Petrus David Wayne,2.0,0.0,0.0,0.0,2.0,0.0,1,0,1,0.0,100.0
Peterson-Feder-Splinter,0.0,2.0,0.0,0.0,2.0,2.0,1,0,0,0.0,0.0
Peterson Lancair,1.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0
Peterson Allen L,1.0,0.0,0.0,0.0,1.0,0.0,1,0,1,0.0,100.0
Piper-Harris,0.0,0.0,0.0,2.0,2.0,2.0,1,0,0,0.0,0.0
Piper/Wally'S Flyers Inc,0.0,0.0,0.0,2.0,2.0,2.0,1,0,0,0.0,0.0
Pipistrel D O O,0.0,0.0,0.0,2.0,2.0,2.0,1,0,0,0.0,0.0
Porrata Luis G,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Prichard Kevin,0.0,0.0,0.0,2.0,2.0,2.0,1,0,0,0.0,0.0
Prescot E. Wilkie,1.0,0.0,0.0,0.0,1.0,0.0,1,0,1,0.0,100.0
Prendergast John/Vans,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Prendergast,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Preiss Vans,0.0,0.0,1.0,1.0,2.0,2.0,1,0,0,0.0,0.0
Powrachute,0.0,0.0,2.0,0.0,2.0,2.0,1,0,0,0.0,0.0
Powell,0.0,0.0,0.0,2.0,2.0,2.0,1,0,0,0.0,0.0
Poulin L/Cullen D,2.0,0.0,0.0,0.0,2.0,0.0,1,0,1,0.0,100.0
Potez-Air Fouga,2.0,0.0,0.0,0.0,2.0,0.0,1,0,0,0.0,0.0
Post,0.0,1.0,0.0,1.0,2.0,2.0,1,0,0,0.0,0.0
Porterfield,0.0,1.0,0.0,1.0,2.0,2.0,1,0,0,0.0,0.0
Porter Glen,0.0,1.0,0.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Porbeck John M,0.0,0.0,1.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Pipistrel Italia Srl,1.0,0.0,0.0,0.0,1.0,0.0,1,0,1,0.0,100.0
Pool,0.0,3.0,0.0,0.0,3.0,3.0,1,0,0,0.0,0.0
Pongracz John M,1.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0
Pollack,0.0,0.0,0.0,2.0,2.0,2.0,1,0,0,0.0,0.0
Polit,1.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0
Polaris,2.0,0.0,0.0,0.0,2.0,0.0,1,0,0,0.0,0.0
