Make,Total Fatal Injuries,Total Serious Injuries,Total Minor Injuries,Total Uninjured,Total Passengers,Total Survivors,Count,Favorable Result,Unfavorable Result,Percent Favorable,Percent Unfavorable
American Legend Aircraft Co,0.0,1.0,2.0,21.0,24.0,24.0,17,0,0,0.0,0.0
Fairchild,8.0,7.0,1.0,14.0,30.0,22.0,17,0,2,0.0,11.76470588235294
Swearingen,3.0,2.0,0.0,26.0,31.0,28.0,16,0,2,0.0,12.5
Pilatus,29.0,0.0,4.0,41.0,74.0,45.0,16,1,2,6.25,12.5
American,3.0,6.0,5.0,8.0,22.0,19.0,16,0,0,0.0,0.0
Christen Industries Inc,2.0,7.0,1.0,10.0,20.0,18.0,15,0,0,0.0,0.0
Czech Aircraft Works Spol Sro,2.0,4.0,1.0,11.0,18.0,16.0,15,0,1,0.0,6.666666666666667
Lake,0.0,4.0,3.0,17.0,24.0,24.0,15,0,0,0.0,0.0
Engineering & Research,2.0,6.0,0.0,15.0,23.0,21.0,15,0,1,0.0,6.666666666666667
Kitfox,4.0,5.0,4.0,7.0,20.0,16.0,14,0,0,0.0,0.0
Silvaire,3.0,3.0,3.0,13.0,22.0,19.0,14,0,1,0.0,7.142857142857142
Stearman,0.0,8.0,1.0,13.0,22.0,22.0,13,0,0,0.0,0.0
Titan,4.0,0.0,7.0,4.0,15.0,11.0,13,0,1,0.0,7.6923076923076925
Mitsubishi,10.0,2.0,0.0,16.0,28.0,18.0,13,0,5,0.0,38.46153846153847
Columbia Aircraft Mfg,9.0,0.0,0.0,11.0,20.0,11.0,13,0,4,0.0,30.76923076923077
Remos Aircraft Gmbh,2.0,4.0,3.0,12.0,21.0,19.0,13,0,0,0.0,0.0
Consolidated Aeronautics Inc.,0.0,4.0,2.0,11.0,17.0,17.0,13,0,0,0.0,0.0
Kolb,8.0,3.0,3.0,2.0,16.0,8.0,13,0,0,0.0,0.0
Quad City,8.0,1.0,5.0,4.0,18.0,10.0,13,0,1,0.0,7.6923076923076925
Pitts,4.0,4.0,1.0,8.0,17.0,13.0,13,0,1,0.0,7.6923076923076925
Aeropro Cz,2.0,3.0,0.0,14.0,19.0,17.0,12,0,1,0.0,8.333333333333332
Learjet,10.0,1.0,2.0,39.0,52.0,42.0,12,0,3,0.0,25.0
Czech Sport Aircraft As,5.0,1.0,3.0,7.0,16.0,11.0,12,0,1,0.0,8.333333333333332
Siai-Marchetti,5.0,6.0,4.0,7.0,22.0,17.0,12,0,0,0.0,0.0
Hawker Beechcraft Corp,4.0,1.0,1.0,21.0,27.0,23.0,12,0,2,0.0,16.666666666666664
Thrush Aircraft Inc,1.0,2.0,0.0,10.0,13.0,12.0,12,0,1,0.0,8.333333333333332
Grumman American,4.0,4.0,0.0,8.0,16.0,12.0,12,0,2,0.0,16.666666666666664
