Consolidated,Number Of Engines,Total Fatal Injuries,Total Serious Injuries,Total Minor Injuries,Total Uninjured,Month,Year,Total Passengers,Total Survivors,Count,Favorable Result,Unfavorable Result,Percent Fatal Injuries,Percent Serious Injuries,Percent Minor Injuries,Percent Uninjured,Percent Survivors
Airbus A320,56.0,0.0,11.0,29.0,4151.0,158,58414,4191.0,4191.0,29,27,0,0.0,0.26246719160104987,0.6919589596754951,99.04557384872345,100.0
Airbus A321,30.0,0.0,9.0,6.0,2673.0,105,30261,2688.0,2688.0,15,15,0,0.0,0.33482142857142855,0.2232142857142857,99.44196428571429,100.0
Airbus A330,14.0,0.0,2.0,3.0,1682.0,32,14108,1687.0,1687.0,7,6,0,0.0,0.11855364552459988,0.17783046828689983,99.7036158861885,100.0
Airbus A319,18.0,0.0,4.0,9.0,1204.0,76,20165,1217.0,1217.0,10,9,0,0.0,0.3286770747740345,0.7395234182415776,98.93179950698439,100.0
Airbus A380,4.0,0.0,0.0,1.0,576.0,6,4031,577.0,577.0,2,1,0,0.0,0.0,0.17331022530329288,99.8266897746967,100.0
Airbus A340,4.0,0.0,0.0,0.0,397.0,1,2013,397.0,397.0,1,1,0,0.0,0.0,0.0,100.0,100.0
